City,Latitude,Longitude
Acampo,38.1746398,-121.2785588
Aguanga,33.4428094,-116.8650235
Alameda,37.6090291,-121.899142
Alamo,37.8502033,-122.032184
Albany,37.88687,-122.2977475
Alpine,38.5893934,-119.8345013
Alturas,41.487123,-120.542327
American Canyon,38.223457,-122.2270431
Anaheim,33.8347516,-117.911732
Angels Camp,38.0695732,-120.540503
Angelus Oaks,34.1458435,-116.9825321
Aptos,37.7282436,-122.4676663
Arcata,40.866517,-124.08284
Armona,36.315894,-119.7024315
Artesia,33.8690197,-118.0796195
Arvin,35.209129,-118.828431
Atascadero,35.4894169,-120.6707255
Atherton,37.453773,-122.2058272
Auburn,38.8945939,-121.0739897
Avenal,36.0041223,-120.1290272
Avery,38.195551,-120.3818844
Avila Beach,35.1799752,-120.731841
Badger,36.6313367,-119.0131624
Bakersfield,35.3738712,-119.0194639
Bell Gardens,33.9694561,-118.1503953
Belvedere Tiburon,37.869392,-122.468064
Ben Lomond,37.0891143,-122.086352
Berkeley,37.8753497,-122.2396336
Bethel Island,38.0149216,-121.640508
Beverly Hills,34.0696501,-118.3963062
Big Sur,36.270241,-121.807454
Biola,36.8004675,-120.0200916
Bishop,37.363679,-118.39524
Bloomington,34.07029,-117.395879
Bodfish,35.568863,-118.4822625
Bonita,32.664798,-117.0159618
Bonsall,33.276248,-117.1996208
Borrego Springs,33.2566792,-116.3782682
Boulder Creek,32.9726949,-116.6881244
Boulevard,32.6636712,-116.273629
Brea,33.9170444,-117.888855
Brisbane,37.687165,-122.402794
Brookdale,37.1079169,-122.1087563
Buena Park,33.870413,-117.9962165
Burbank,34.1816482,-118.3258554
Byron,37.874063,-121.6346574
Calexico,32.6790572,-115.498703
California City,35.125801,-117.9859038
Calipatria,33.1439205,-115.5494557
Camino,38.7382366,-120.6749302
Campbell,37.2870626,-121.9448818
Canby,41.4437857,-120.8702518
Canoga Park,34.2011078,-118.5978087
Capistrano Beach,33.4625277,-117.6717175
Capitola,36.9762927,-121.954057
