,Bedrooms,Bathrooms,Total interior livable area,Elementary School Score,Middle School Score,High School Score,Tax assessed value,Annual tax amount,Listed Price,City
1,3,2.0,872.0,3.0,2.0,2.0,505000.0,6253.0,525000.0,Los Angeles
3,5,3.0,2612.0,9.0,7.0,8.0,1775000.0,20787.0,1895000.0,Culver City
10,4,2.0,1579.0,7.0,5.0,6.0,71347.0,904.0,1428000.0,Santa Clara
12,6,3.0,3351.0,8.0,7.0,7.0,2080800.0,25099.0,2250000.0,San Francisco
18,3,2.0,2100.0,6.0,6.0,8.0,1836000.0,21521.0,2390000.0,San Mateo
23,3,2.0,1350.0,9.0,9.0,6.0,442672.0,6434.0,1499000.0,San Carlos
26,5,3.0,1910.0,8.0,5.0,6.0,974854.0,13610.0,1098000.0,San Jose
29,2,2.0,1127.0,7.0,6.0,7.0,923100.0,11150.0,925000.0,Capitola
31,4,2.0,1723.0,4.0,5.0,7.0,1000000.0,12957.0,1115000.0,San Jose
33,4,2.0,2783.0,6.0,2.0,6.0,351909.0,4443.0,1995000.0,Los Angeles
34,2,1.0,1520.0,6.0,7.0,8.0,488446.0,6765.0,1785000.0,Culver City
42,4,3.0,3500.0,6.0,7.0,7.0,1634260.0,18558.0,1850000.0,San Mateo
49,5,5.0,3120.0,6.0,6.0,7.0,775616.0,10112.0,1345000.0,Santa Cruz
54,3,1.0,913.0,5.0,8.0,7.0,662686.0,8226.0,1425000.0,Sunnyvale
55,4,3.0,2248.0,8.0,9.0,10.0,282869.0,4181.0,2750500.0,Cupertino
63,3,2.0,1475.0,4.0,3.0,4.0,741778.0,10356.0,675000.0,San Jose
65,2,2.0,1525.0,6.0,2.0,6.0,543414.0,6711.0,1550000.0,Los Angeles
68,2,1.0,1021.0,6.0,7.0,8.0,866813.0,10813.0,895000.0,Culver City
70,4,3.0,1853.0,5.0,7.0,9.0,198530.0,4152.0,974950.0,San Jose
75,3,1.0,1077.0,6.0,7.0,8.0,448662.0,6129.0,1167000.0,Los Angeles
76,3,2.0,1271.0,5.0,5.0,7.0,696597.0,9212.0,888000.0,San Jose
77,2,1.0,710.0,6.0,5.0,6.0,80741.0,38.0,1230800.0,Redwood City
80,2,1.0,805.0,4.0,3.0,6.0,347416.0,4351.0,2100000.0,Los Angeles
81,6,2.0,1605.0,7.0,6.0,7.0,880935.0,10580.0,1099950.0,Santa Clara
82,2,3.0,1520.0,6.0,3.0,7.0,838486.0,10234.0,949000.0,Los Angeles
84,4,2.0,1440.0,7.0,9.0,8.0,1320566.0,17880.0,1488888.0,San Jose
86,5,4.0,4954.0,6.0,9.0,9.0,1895557.0,22560.0,4888888.0,Milpitas
96,3,2.0,1552.0,4.0,4.0,6.0,899123.0,11126.0,1698900.0,Los Angeles
97,5,3.0,2962.0,7.0,3.0,3.0,2149140.0,26547.0,1995000.0,San Francisco
114,3,2.0,1435.0,9.0,8.0,8.0,315241.0,4190.0,1625000.0,Sunnyvale
115,3,2.0,1927.0,3.0,3.0,4.0,150916.0,3199.0,749000.0,San Jose
116,2,2.0,1650.0,3.0,5.0,4.0,1326510.0,16249.0,1450000.0,Los Angeles
119,3,2.0,2100.0,5.0,4.0,7.0,941292.0,11852.0,1998000.0,San Mateo
120,3,1.0,1144.0,8.0,5.0,8.0,231650.0,2738.0,479000.0,Ben Lomond
121,3,2.0,1066.0,6.0,7.0,8.0,905000.0,12290.0,1049000.0,San Jose
128,4,3.0,2494.0,8.0,9.0,9.0,626813.0,8252.0,2800000.0,Palo Alto
136,4,3.0,2585.0,9.0,7.0,8.0,1632000.0,20230.0,1650000.0,San Jose
137,3,2.0,1313.0,7.0,6.0,8.0,153254.0,1871.0,1988800.0,Mountain View
138,4,5.0,2542.0,6.0,2.0,6.0,1593240.0,19345.0,2279000.0,Los Angeles
139,4,4.0,2889.0,9.0,7.0,6.0,1880523.0,22881.0,2850000.0,Los Angeles
141,4,3.0,2079.0,8.0,5.0,6.0,339159.0,5579.0,1150000.0,San Jose
145,5,3.0,2479.0,6.0,7.0,8.0,1143344.0,15580.0,1500000.0,San Jose
147,2,2.0,1486.0,6.0,3.0,6.0,1074617.0,13275.0,1275000.0,Los Angeles
150,3,3.0,1927.0,2.0,7.0,7.0,1232160.0,15120.0,1979000.0,Los Angeles
153,4,5.0,3870.0,8.0,8.0,7.0,851251.0,11695.0,13850000.0,Atherton
154,3,3.0,1698.0,3.0,5.0,4.0,1289000.0,15766.0,1200000.0,Los Angeles
155,3,3.0,2792.0,7.0,3.0,7.0,1189036.0,14870.0,2399500.0,Los Angeles
158,3,3.0,2612.0,9.0,3.0,7.0,1042455.0,13129.0,3495000.0,West Hollywood
