,Heating,Cooling,Parking,Bedrooms,Bathrooms,Total interior livable area,Elementary School Score,Middle School Score,High School Score,Flooring,Heating features,Cooling features,Appliances included,Laundry features,Parking features,Tax assessed value,Annual tax amount,Listed Price
3,Central,Central Air,"Detached Carport, Driveway, Garage - Two Door",5,3.0,2612.0,9.0,7.0,8.0,"Wood, Tile",Central,Central Air,Dishwasher,"Stackable, Upper Level","Detached Carport, Driveway, Garage - Two Door",1775000.0,20787.0,1895000.0
10,Forced Air,Central AC,"Garage, Garage - Attached, Covered",4,2.0,1579.0,7.0,5.0,6.0,"Tile, Laminate","Forced air, Electric, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",In Garage,"Garage, Garage - Attached, Covered",71347.0,904.0,1428000.0
18,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached",3,2.0,2100.0,6.0,6.0,8.0,"Hardwood, Marble","Forced air, Gas",Central,Refrigerator,"Gas Hookup, Inside","Garage, Garage - Attached",1836000.0,21521.0,2390000.0
23,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached",3,2.0,1350.0,9.0,9.0,6.0,"Tile, Hardwood","Forced air, Gas",Central,"Garbage disposal, Range / Oven",In Garage,"Garage, Garage - Attached",442672.0,6434.0,1499000.0
26,"Forced air, Gas","Refrigerator, Central","Garage, Garage - Detached, Off-street, Covered",5,3.0,1910.0,8.0,5.0,6.0,"Tile, Laminate","Forced air, Gas","Refrigerator, Central","Dishwasher, Garbage disposal, Range / Oven, Refrigerator",In Unit,"Garage, Garage - Detached, Off-street, Covered",974854.0,13610.0,1098000.0
27,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered","Master Bedroom on Ground Floor, Walk-in Closet",3.0,1797.0,6.0,6.0,8.0,"Tile, Marble, Laminate, Carpet, Stone","Forced air, Gas",Central,"Dishwasher, Microwave, Range / Oven, Refrigerator",Electricity Hookup (110V),"Garage, Garage - Attached, Covered",1120713.0,13725.0,1998000.0
34,Floor Furnace,None,"Detached Carport, Garage - Two Door",2,1.0,1520.0,6.0,7.0,8.0,"Wood, Tile",Floor Furnace,None,Dishwasher,Inside,"Detached Carport, Garage - Two Door",488446.0,6765.0,1785000.0
39,"Gas, Forced Air",None,"Garage, Garage - Attached","Ground Floor Bedroom, Master Bedroom on Ground Floor, Master Suite / Retreat, Walk-in Closet",2.0,1640.0,5.0,6.0,7.0,"Tile, Hardwood, Carpet","Forced air, Gas",None,Range / Oven,"In Garage, Tub / Sink, Electricity Hookup (220V)","Garage, Garage - Attached",505939.0,7407.0,1298000.0
49,"Heating - 2+ Zones, Fireplace, Individual Room Controls",Other,Garage - Attached,5,5.0,3120.0,6.0,6.0,7.0,Wood,Other,Other,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","In Garage, Washer / Dryer",Garage - Attached,775616.0,10112.0,1345000.0
54,Forced Air,None,"Garage, Garage - Attached, Covered",3,1.0,913.0,5.0,8.0,7.0,"Tile, Hardwood",Forced air,None,"Dishwasher, Range / Oven, Refrigerator",In Garage,"Garage, Garage - Attached, Covered",662686.0,8226.0,1425000.0
55,Gravity,"Ceiling Fan(s), Whole House Fan","Garage Door Opener, Attached",4,3.0,2248.0,8.0,9.0,10.0,"Carpet, Hardwood, Tile",Gravity,"Ceiling Fan(s), Whole House Fan","Gas Water Heater, Dishwasher, Double Oven, Electric Range, Disposal, Refrigerator","220 Volt Outlet, Laundry Room","Garage Door Opener, Attached",282869.0,4181.0,2750500.0
76,Central Forced Air,None,"Garage, Garage - Attached, Covered",3,2.0,1271.0,5.0,5.0,7.0,"Tile, Laminate",Forced air,None,"Garbage disposal, Microwave, Refrigerator",In Garage,"Garage, Garage - Attached, Covered",696597.0,9212.0,888000.0
77,Gas,Central,"Garage, On-street, Covered",2,1.0,710.0,6.0,5.0,6.0,Laminate,"Forced air, Gas",Central,Washer,In Unit,"Garage, On-street, Covered",80741.0,38.0,1230800.0
81,"Forced air, Gas",Central,"Garage, Garage - Attached, Covered",6,2.0,1605.0,7.0,6.0,7.0,"Tile, Laminate","Forced air, Gas",Central,"Dryer, Microwave, Range / Oven, Refrigerator, Washer",In Garage,"Garage, Garage - Attached, Covered",880935.0,10580.0,1099950.0
